question,ground_truth,query_type,expected_context,difficulty
What is CacheMaster Labs's latest engagement score and feature adoption rate?,"CacheMaster Labs (CUST-0009) has a latest engagement score of 0.327 and a feature adoption rate of 0.346, as of their most recent weekly snapshot (2026-05-18).",customer_specific,"CUST-0009,ANALYSIS-0004",medium
"What is DevTools Inc's annual recurring revenue, and which segment do they belong to?","DevTools Inc (CUST-0008) is a Commercial customer with an ARR of $95,700 across 29 seats, in the Retail industry.",customer_specific,"CUST-0008,ANALYSIS-0003",easy
"Has CloudScale Technologies churned, and what is their current contract status?","No. CloudScale Technologies (CUST-0024) is an active Commercial customer with 18 months of tenure and a contract running to 2026-11-19, worth $96,500 in ARR.",customer_specific,CUST-0024,easy
"How many support tickets has TechFlow Corp raised, and what is their average CSAT?","TechFlow Corp (CUST-0056) has raised 7 support tickets, with an average CSAT of 2.86 out of 5.",customer_specific,CUST-0056,medium
What is ContainerOps LLC's latest engagement score and feature adoption rate?,"ContainerOps LLC (CUST-0060) has a latest engagement score of 0.867 and a feature adoption rate of 0.691, as of their most recent weekly snapshot (2026-06-23).",customer_specific,CUST-0060,medium
"What is QueueManager Systems's annual recurring revenue, and which segment do they belong to?","QueueManager Systems (CUST-0130) is a SMB customer with an ARR of $39,600 across 23 seats, in the Public Sector industry.",customer_specific,"CUST-0130,ANALYSIS-0068",easy
"Did AnalyticsCo Corp churn, and if so when and for what reason?","Yes. AnalyticsCo Corp (CUST-0155) churned on 2025-06-19 after 28 months. The churn category was Support Issues, specifically: Unresolved bugs. They represented $32,300 in ARR.",customer_specific,"CUST-0155,ANALYSIS-0084",easy
"How many support tickets has StreamPro Labs raised, and what is their average CSAT?","StreamPro Labs (CUST-0198) has raised 6 support tickets, with an average CSAT of 3.17 out of 5.",customer_specific,CUST-0198,medium
What is LogStream Technologies's latest engagement score and feature adoption rate?,"LogStream Technologies (CUST-0144) has a latest engagement score of 0.254 and a feature adoption rate of 0.126, as of their most recent weekly snapshot (2025-12-16).",customer_specific,"CUST-0144,ANALYSIS-0077",medium
"What is CloudScale Systems's annual recurring revenue, and which segment do they belong to?","CloudScale Systems (CUST-0051) is a Enterprise customer with an ARR of $172,600 across 349 seats, in the Energy industry.",customer_specific,"CUST-0051,ANALYSIS-0027",easy
"Did LoadBalance Corp churn, and if so when and for what reason?","Yes. LoadBalance Corp (CUST-0167) churned on 2026-05-19 after 17 months. The churn category was Adoption Challenges, specifically: Lack of champions. They represented $450,500 in ARR.",customer_specific,"CUST-0167,ANALYSIS-0091",easy
"How many support tickets has WorkflowPro Solutions raised, and what is their average CSAT?","WorkflowPro Solutions (CUST-0192) has raised 2 support tickets, with an average CSAT of 4.50 out of 5.",customer_specific,CUST-0192,medium
What is DevTools LLC's latest engagement score and feature adoption rate?,"DevTools LLC (CUST-0108) has a latest engagement score of 1.000 and a feature adoption rate of 0.811, as of their most recent weekly snapshot (2026-06-23).",customer_specific,CUST-0108,medium
"What is DataSync Labs's annual recurring revenue, and which segment do they belong to?","DataSync Labs (CUST-0057) is a Enterprise customer with an ARR of $210,500 across 454 seats, in the Retail industry.",customer_specific,"CUST-0057,ANALYSIS-0031",easy
"Has SecurityFirst LLC churned, and what is their current contract status?","No. SecurityFirst LLC (CUST-0115) is an active SMB customer with 18 months of tenure and a contract running to 2026-08-21, worth $26,900 in ARR.",customer_specific,"CUST-0115,ANALYSIS-0061",easy
"How many support tickets has DataBridge Group raised, and what is their average CSAT?","DataBridge Group (CUST-0151) has raised 8 support tickets, with an average CSAT of 2.50 out of 5.",customer_specific,"CUST-0151,ANALYSIS-0082",medium
What is AnalyticsCo Labs's latest engagement score and feature adoption rate?,"AnalyticsCo Labs (CUST-0072) has a latest engagement score of 1.000 and a feature adoption rate of 0.958, as of their most recent weekly snapshot (2026-06-23).",customer_specific,CUST-0072,medium
How does the latest engagement score differ between churned and retained customers?,"Churned customers average 0.273 on their final engagement score, versus 0.635 for retained customers -- a gap of 0.362. Engagement is the strongest single separator between the two groups.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",hard
Do churned customers report lower satisfaction than retained ones?,"Yes. Churned customers average a CSAT of 2.58 out of 5, compared with 3.58 for retained customers.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",medium
Do churned customers raise support tickets at a higher rate than retained customers?,"Yes. Churned customers raise 0.49 tickets per month of tenure on average, versus 0.31 for retained customers.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",hard
Which churn category accounts for the largest number of churned customers?,"Support Issues, with 21 of 71 churned customers (29.6%).",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",medium
Which churn category is associated with the most lost ARR?,"Support Issues, accounting for $2,072,800 of lost ARR across the churned base.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",medium
What is the overall churn rate across the customer base?,"71 of 200 customers have churned, a rate of 35.5%.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",easy
What is the average tenure at which customers churn?,Churned customers had an average tenure of 26.0 months at the point of churn.,pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",medium
How does feature adoption compare between churned and retained customers?,"Churned customers reached an average feature adoption rate of 0.258, against 0.586 for retained customers.",pattern_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",hard
"How many customers did we lose to Kestrel Data, and what ARR did they represent?","12 churned customers named Kestrel Data as a competitor, representing $1,126,100 in lost ARR.",competitive_intelligence,"CUST-0013,CUST-0034,CUST-0042,CUST-0047,CUST-0057,CUST-0131,CUST-0133,CUST-0144",medium
"How many customers did we lose to Beacon Systems, and what ARR did they represent?","9 churned customers named Beacon Systems as a competitor, representing $755,900 in lost ARR.",competitive_intelligence,"CUST-0012,CUST-0044,CUST-0053,CUST-0064,CUST-0097,CUST-0141,CUST-0142,CUST-0157",medium
"How many customers did we lose to Apex Platform, and what ARR did they represent?","9 churned customers named Apex Platform as a competitor, representing $1,063,600 in lost ARR.",competitive_intelligence,"CUST-0028,CUST-0036,CUST-0049,CUST-0090,CUST-0106,CUST-0126,CUST-0167,CUST-0186",medium
"How many customers did we lose to Vantage Analytics, and what ARR did they represent?","7 churned customers named Vantage Analytics as a competitor, representing $463,100 in lost ARR.",competitive_intelligence,"CUST-0001,CUST-0082,CUST-0101,CUST-0103,CUST-0129,CUST-0158,CUST-0179",medium
"How many customers did we lose to NorthStar Cloud, and what ARR did they represent?","7 churned customers named NorthStar Cloud as a competitor, representing $441,300 in lost ARR.",competitive_intelligence,"CUST-0010,CUST-0067,CUST-0084,CUST-0105,CUST-0110,CUST-0111,CUST-0183",medium
"How many customers did we lose to Meridian Software, and what ARR did they represent?","1 churned customer named Meridian Software as a competitor, representing $55,800 in lost ARR.",competitive_intelligence,CUST-0102,medium
Which competitor is associated with the most lost ARR?,"Kestrel Data, with $1,126,100 of ARR lost across 12 churned customers.",competitive_intelligence,"CUST-0001,CUST-0010,CUST-0012,CUST-0013,CUST-0028,CUST-0034,CUST-0036,CUST-0042,CUST-0044,CUST-0047",hard
What share of churned customers named a competitor?,45 of 71 churned customers named a competitor (63.4%); the remainder churned without one recorded.,competitive_intelligence,"CUST-0001,CUST-0010,CUST-0012,CUST-0013,CUST-0028,CUST-0034,CUST-0036,CUST-0042,CUST-0044,CUST-0047",medium
What is the total ARR lost to churn?,"$6,488,300 across 71 churned customers.",financial_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",easy
What is the total ARR of the retained customer base?,"$13,715,500 across 129 active customers.",financial_analysis,,easy
How much ARR is currently at risk among active customers?,"$3,271,600 across 35 active customers whose latest engagement score is below 0.4.",financial_analysis,"CUST-0015,CUST-0019,CUST-0022,CUST-0026,CUST-0030,CUST-0033,CUST-0051,CUST-0055,CUST-0065,CUST-0083",hard
How does average ARR compare between churned and retained customers?,"Churned customers averaged $91,385 in ARR, versus $106,322 for retained customers.",financial_analysis,,medium
What proportion of total book ARR has been lost to churn?,"$6,488,300 of $20,203,800 total, or 32.1%.",financial_analysis,"CUST-0001,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0012,CUST-0013,CUST-0020,CUST-0027,CUST-0028",hard
Which single churned customer represented the largest ARR loss?,"LoadBalance Corp (CUST-0167), a Enterprise customer worth $450,500 in ARR, churned on 2026-05-19 due to Adoption Challenges.",financial_analysis,CUST-0167,medium
"How many Commercial customers are there, and what is their churn rate?","There are 70 Commercial customers, of whom 27 have churned -- a churn rate of 38.6%.",segment_analysis,"CUST-0001,CUST-0002,CUST-0005,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0014",easy
What is the total and average ARR for the Commercial segment?,"The Commercial segment represents $6,959,800 in total ARR, averaging $99,426 per customer.",segment_analysis,"CUST-0001,CUST-0002,CUST-0005,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0014",medium
What is the most common churn reason among Commercial customers?,"Support Issues, cited by 9 of 27 churned Commercial customers.",segment_analysis,"CUST-0001,CUST-0002,CUST-0005,CUST-0006,CUST-0008,CUST-0009,CUST-0010,CUST-0014",medium
"How many Enterprise customers are there, and what is their churn rate?","There are 36 Enterprise customers, of whom 10 have churned -- a churn rate of 27.8%.",segment_analysis,"CUST-0004,CUST-0017,CUST-0021,CUST-0022,CUST-0039,CUST-0051,CUST-0057,CUST-0058",easy
What is the total and average ARR for the Enterprise segment?,"The Enterprise segment represents $10,011,800 in total ARR, averaging $278,106 per customer.",segment_analysis,"CUST-0004,CUST-0017,CUST-0021,CUST-0022,CUST-0039,CUST-0051,CUST-0057,CUST-0058",medium
What is the most common churn reason among Enterprise customers?,"Support Issues, cited by 4 of 10 churned Enterprise customers.",segment_analysis,"CUST-0004,CUST-0017,CUST-0021,CUST-0022,CUST-0039,CUST-0051,CUST-0057,CUST-0058",medium
"How many SMB customers are there, and what is their churn rate?","There are 94 SMB customers, of whom 34 have churned -- a churn rate of 36.2%.",segment_analysis,"CUST-0003,CUST-0007,CUST-0011,CUST-0012,CUST-0013,CUST-0016,CUST-0018,CUST-0023",easy
What is the total and average ARR for the SMB segment?,"The SMB segment represents $3,232,200 in total ARR, averaging $34,385 per customer.",segment_analysis,"CUST-0003,CUST-0007,CUST-0011,CUST-0012,CUST-0013,CUST-0016,CUST-0018,CUST-0023",medium
What is the most common churn reason among SMB customers?,"Product Fit, cited by 9 of 34 churned SMB customers.",segment_analysis,"CUST-0003,CUST-0007,CUST-0011,CUST-0012,CUST-0013,CUST-0016,CUST-0018,CUST-0023",medium
Which customer segment has the highest churn rate?,"Commercial, at 38.6%. For comparison, Enterprise is lowest at 27.8%.",segment_analysis,,hard
"Rank the segments by churn rate, highest to lowest.","Commercial (38.6%), SMB (36.2%), Enterprise (27.8%).",segment_analysis,,hard
