customer_id,company_name,segment,industry,region,arr,seats,contract_start_date,contract_end_date,tenure_months,is_churned,churn_date,churn_category,specific_reason,competitor
CUST-0117,DevTools Systems,SMB,Manufacturing,EMEA,27800,29,2026-01-31,2026-05-10,5,1,2026-05-10,Adoption Challenges,Too hard to onboard,
CUST-0118,AIForge Solutions,Commercial,Retail,APAC,119200,67,2024-11-07,2027-01-19,20,0,,,,
CUST-0119,LogStream Inc,Enterprise,Public Sector,EMEA,228500,90,2023-07-16,2026-10-30,36,0,,,,
CUST-0120,QueueManager Group,SMB,Financial Services,EMEA,40700,18,2024-10-08,2027-03-15,21,0,,,,
CUST-0121,AnalyticsCo Group,SMB,Technology,APAC,11700,7,2026-01-01,2026-10-11,6,0,,,,
CUST-0122,DevOpsHub Corp,SMB,Logistics,EMEA,32200,7,2022-11-18,2027-03-17,44,0,,,,
CUST-0123,CloudScale LLC,Commercial,Energy,LATAM,88700,91,2023-07-16,2026-11-02,36,0,,,,
CUST-0124,BackupCloud Labs,SMB,Retail,NA-East,32600,27,2024-12-07,2026-09-30,19,0,,,,
CUST-0125,DevTools Labs,SMB,Public Sector,EMEA,54600,10,2025-11-02,2027-05-07,8,0,,,,
CUST-0126,LogStream Systems,Commercial,Manufacturing,APAC,52600,90,2022-08-20,2026-02-18,47,1,2026-02-18,Pricing Concerns,Better pricing elsewhere,Apex Platform
CUST-0127,MetricsDash Labs,Enterprise,Public Sector,APAC,407700,471,2023-05-17,2027-04-01,38,0,,,,
CUST-0128,DevTools Technologies,Commercial,Public Sector,LATAM,68200,36,2025-08-04,2026-10-03,11,0,,,,
CUST-0129,SecureNet Labs,SMB,Manufacturing,EMEA,57400,21,2026-01-01,2026-06-24,6,1,2026-06-24,Product Fit,Doesn't scale,Vantage Analytics
CUST-0130,QueueManager Systems,SMB,Public Sector,NA-West,39600,23,2022-12-18,2026-09-15,43,0,,,,
CUST-0131,ComplianceHub Technologies,SMB,Financial Services,NA-East,12300,25,2022-10-19,2026-03-15,45,1,2026-03-15,Adoption Challenges,Team not using it,Kestrel Data
CUST-0132,StreamPro Inc,Commercial,Media,APAC,74500,71,2023-04-17,2027-06-23,39,0,,,,
CUST-0133,ComplianceHub Systems,SMB,Retail,EMEA,53100,15,2025-12-02,2026-04-28,7,1,2026-04-28,Competition,Competitor has better features,Kestrel Data
CUST-0134,WorkflowPro LLC,Enterprise,Energy,NA-West,156400,75,2025-08-04,2026-02-19,11,1,2026-02-19,Product Fit,Poor integration,
CUST-0135,CloudScale Labs,SMB,Retail,APAC,59800,19,2023-01-17,2026-11-04,42,0,,,,
CUST-0136,DisasterRecovery LLC,Commercial,Technology,EMEA,54900,56,2024-09-08,2026-11-17,22,0,,,,
CUST-0137,DisasterRecovery Corp,Commercial,Media,EMEA,126400,66,2022-11-18,2025-01-31,44,1,2025-01-31,Pricing Concerns,Budget cuts,
CUST-0138,DevOpsHub Group,SMB,Media,LATAM,44000,8,2023-05-17,2027-05-07,38,0,,,,
CUST-0139,CloudVision Systems,SMB,Public Sector,APAC,35000,6,2025-10-03,2026-03-24,9,1,2026-03-24,Support Issues,Unresolved bugs,
CUST-0140,ContainerOps Inc,Commercial,Logistics,NA-West,89300,98,2023-10-14,2027-06-08,33,0,,,,
CUST-0141,WorkflowPro Group,Commercial,Energy,NA-East,86800,34,2024-09-08,2026-02-20,22,1,2026-02-20,Competition,Better UX elsewhere,Beacon Systems
CUST-0142,ScaleSystems Systems,SMB,Financial Services,LATAM,34000,21,2022-08-20,2025-02-24,47,1,2025-02-24,Adoption Challenges,Lack of champions,Beacon Systems
CUST-0143,LoadBalance Labs,Commercial,Energy,EMEA,91900,72,2024-04-11,2026-08-08,27,0,,,,
CUST-0144,LogStream Technologies,Commercial,Public Sector,EMEA,149800,81,2024-02-11,2025-12-23,29,1,2025-12-23,Pricing Concerns,Better pricing elsewhere,Kestrel Data
CUST-0145,DataSync Group,Enterprise,Manufacturing,EMEA,323200,165,2023-11-13,2025-07-16,32,1,2025-07-16,Support Issues,No training,Kestrel Data
CUST-0146,ScaleSystems Corp,Commercial,Healthcare,LATAM,117700,68,2022-07-21,2026-12-24,48,0,,,,
CUST-0147,DisasterRecovery Systems,Enterprise,Healthcare,EMEA,469600,385,2024-03-12,2026-12-24,28,0,,,,
CUST-0148,APIGateway Group,SMB,Retail,NA-East,40800,23,2023-10-14,2026-12-16,33,0,,,,
CUST-0149,AIForge LLC,SMB,Logistics,APAC,15000,29,2026-01-01,2027-02-26,6,0,,,,
CUST-0150,MonitorPlus Inc,SMB,Manufacturing,EMEA,26100,25,2023-05-17,2027-06-28,38,0,,,,
CUST-0151,DataBridge Group,SMB,Retail,NA-East,59900,17,2025-11-02,2027-02-28,8,0,,,,
CUST-0152,SecurityFirst Solutions,Commercial,Technology,LATAM,60700,62,2025-05-06,2026-12-29,14,0,,,,
CUST-0153,QueueManager Technologies,SMB,Manufacturing,NA-East,26500,28,2022-11-18,2026-12-16,44,0,,,,
CUST-0154,APIGateway Systems,Commercial,Technology,APAC,132700,85,2024-12-07,2026-10-27,19,0,,,,
CUST-0155,AnalyticsCo Corp,SMB,Education,NA-West,32300,13,2024-03-12,2025-06-19,28,1,2025-06-19,Support Issues,Unresolved bugs,Kestrel Data
CUST-0156,CloudVision Technologies,Commercial,Media,NA-West,90500,84,2023-04-17,2027-03-25,39,0,,,,
CUST-0157,AIForge Inc,Enterprise,Manufacturing,NA-West,291300,282,2022-07-21,2025-10-23,48,1,2025-10-23,Support Issues,Poor documentation,Beacon Systems
CUST-0158,DevOpsHub LLC,SMB,Technology,NA-East,36300,21,2022-08-20,2025-12-09,47,1,2025-12-09,Product Fit,Too complex,Vantage Analytics
CUST-0159,MetricsDash Technologies,Enterprise,Retail,EMEA,441800,276,2025-09-03,2026-10-14,10,0,,,,
CUST-0160,MetricsDash Group,SMB,Retail,LATAM,30800,23,2025-03-07,2027-03-19,16,0,,,,
CUST-0161,AnalyticsCo Solutions,SMB,Technology,NA-East,12300,16,2023-11-13,2026-03-12,32,1,2026-03-12,Support Issues,Slow response,Beacon Systems
CUST-0162,MetricsDash LLC,Enterprise,Education,EMEA,497100,245,2025-12-02,2027-06-23,7,0,,,,
CUST-0163,DataBridge Inc,SMB,Logistics,NA-East,18900,22,2024-04-11,2027-06-29,27,0,,,,
CUST-0164,AuditPro Group,SMB,Public Sector,APAC,36600,12,2025-08-04,2026-04-11,11,1,2026-04-11,Pricing Concerns,ROI not clear,
CUST-0165,ComplianceHub Labs,SMB,Financial Services,NA-West,20300,8,2024-11-07,2027-06-09,20,0,,,,
CUST-0166,InnovateLabs Solutions,Commercial,Public Sector,NA-West,125400,27,2023-12-13,2025-11-07,31,1,2025-11-07,Pricing Concerns,Budget cuts,
CUST-0167,LoadBalance Corp,Enterprise,Manufacturing,EMEA,450500,388,2025-02-05,2026-05-19,17,1,2026-05-19,Adoption Challenges,Lack of champions,Apex Platform
CUST-0168,SecurityFirst Inc,SMB,Energy,NA-East,58600,25,2026-01-01,2027-05-10,6,0,,,,
CUST-0169,CodeCraft Technologies,Commercial,Energy,NA-West,134900,58,2023-07-16,2027-05-01,36,0,,,,
CUST-0170,SecureNet Technologies,Enterprise,Retail,APAC,197100,154,2025-07-05,2027-04-27,12,0,,,,
CUST-0171,LogStream Solutions,SMB,Technology,LATAM,12000,7,2025-11-02,2026-04-11,8,1,2026-04-11,Product Fit,Missing features,
CUST-0172,ComplianceHub Solutions,Commercial,Manufacturing,NA-West,146200,35,2022-10-19,2026-08-06,45,0,,,,
CUST-0173,CloudVision Solutions,Commercial,Logistics,EMEA,88100,88,2023-10-14,2027-05-08,33,0,,,,
CUST-0174,DevOpsHub Solutions,Commercial,Manufacturing,EMEA,81300,25,2024-09-08,2027-01-09,22,0,,,,
CUST-0175,MicroServe Corp,Commercial,Media,NA-West,69600,49,2025-02-05,2027-02-28,17,0,,,,
CUST-0176,MetricsDash Inc,SMB,Energy,APAC,18400,30,2025-01-06,2027-06-23,18,0,,,,
CUST-0177,ContainerOps Group,SMB,Public Sector,NA-East,52000,7,2025-08-04,2026-08-29,11,0,,,,
CUST-0178,MonitorPlus Systems,Enterprise,Financial Services,NA-West,302300,241,2022-10-19,2026-01-03,45,1,2026-01-03,Product Fit,Missing features,
CUST-0179,CodeCraft Corp,Commercial,Financial Services,LATAM,122200,88,2023-01-17,2025-07-31,42,1,2025-07-31,Adoption Challenges,Lack of champions,Vantage Analytics
CUST-0180,APIGateway LLC,Commercial,Retail,NA-West,69200,87,2022-08-20,2027-04-24,47,0,,,,
CUST-0181,CloudVision Inc,SMB,Manufacturing,NA-West,25000,7,2024-06-10,2027-05-15,25,0,,,,
CUST-0182,WorkflowPro Systems,Commercial,Financial Services,NA-West,58300,75,2022-11-18,2024-12-16,44,1,2024-12-16,Adoption Challenges,Too hard to onboard,Kestrel Data
CUST-0183,InnovateLabs Labs,Commercial,Healthcare,EMEA,139900,92,2025-10-03,2026-04-02,9,1,2026-04-02,Adoption Challenges,Too hard to onboard,NorthStar Cloud
CUST-0184,APIGateway Solutions,Enterprise,Retail,LATAM,196200,477,2024-08-09,2026-12-30,23,0,,,,
CUST-0185,DataBridge LLC,Enterprise,Logistics,NA-East,139100,168,2022-09-19,2027-04-12,46,0,,,,
CUST-0186,DataSync Corp,Enterprise,Energy,APAC,191300,333,2024-07-10,2026-03-03,24,1,2026-03-03,Support Issues,Slow response,Apex Platform
CUST-0187,AIForge Corp,SMB,Retail,APAC,45600,25,2023-03-18,2025-02-19,40,1,2025-02-19,Product Fit,Missing features,
CUST-0188,LoadBalance Solutions,SMB,Healthcare,NA-West,31500,22,2024-05-11,2025-08-18,26,1,2025-08-18,Support Issues,Poor documentation,Apex Platform
CUST-0189,MetricsDash Systems,SMB,Media,APAC,29400,7,2025-11-02,2026-08-05,8,0,,,,
CUST-0190,MetricsDash Corp,Commercial,Media,EMEA,76800,38,2023-05-17,2025-04-29,38,1,2025-04-29,Product Fit,Poor integration,
CUST-0191,InnovateLabs Systems,SMB,Technology,NA-West,32900,9,2024-02-11,2027-05-30,29,0,,,,
CUST-0192,WorkflowPro Solutions,SMB,Education,LATAM,16800,15,2024-03-12,2027-01-17,28,0,,,,
CUST-0193,LoadBalance LLC,Commercial,Energy,LATAM,128200,61,2022-08-20,2027-06-19,47,0,,,,
CUST-0194,CacheMaster Group,SMB,Financial Services,APAC,57100,11,2024-03-12,2027-05-07,28,0,,,,
CUST-0195,ScaleSystems Group,SMB,Retail,EMEA,22100,26,2024-10-08,2027-04-11,21,0,,,,
CUST-0196,AuditPro Corp,SMB,Public Sector,LATAM,56200,27,2024-01-12,2027-02-20,30,0,,,,
CUST-0197,LoadBalance Inc,SMB,Healthcare,NA-East,48400,26,2026-01-31,2027-06-21,5,0,,,,
CUST-0198,StreamPro Labs,Commercial,Healthcare,NA-East,59900,48,2025-06-05,2027-03-07,13,0,,,,
CUST-0199,BackupCloud LLC,Commercial,Technology,LATAM,65100,23,2023-07-16,2025-10-12,36,1,2025-10-12,Support Issues,No training,Kestrel Data
CUST-0200,ScaleSystems Labs,SMB,Manufacturing,LATAM,34100,20,2025-11-02,2027-03-20,8,0,,,,
